100 0.305434 0 0.00048089
400 0.0187121 0 0.00639701
900 0.0281148 0 0.0357859
1600 0.0388614 0.13121 0.0979791
2500 0.0469043 2.02336 0.238782
3600 0.355242 2.20704 0.493956
4900 0.0638712 0.700399 0.956591
6400 0.0796843 0.982662 1.65447
8100 0.089637 1.2946 2.68985
10000 0.094171 3.32364 4.08926
12100 0.106657 3.69589 6.18687
14400 0.114499 4.02974 8.58067
16900 0.13243 4.48464 11.729
19600 0.14378 4.96619 16.1123
22500 0.153311 5.39475 20.565
25600 0.164247 5.97419 26.5756
28900 0.175371 6.49241 33.6002
32400 0.185213 7.0883 42.1578
36100 0.181753 7.69586 52.2426
40000 0.192645 8.34815 64.0917
44100 0.203667 8.81659 76.9548
48400 0.213876 9.59062 94.4682
52900 0.222757 10.2549 111.149
57600 0.234379 11.1059 130.255
62500 0.243023 11.6653 153.539
67600 0.270034 12.6194 180.76
72900 0.28407 13.5754 212.617
78400 0.291913 14.404 242.856
84100 0.304335 15.4053 283.146
90000 0.31527 16.3606 323.683
